public_transport_nearby,has_lifts,allows_pets,cctv,floor,antiquity_min_years,antiquity_max_years,rooms,bathrooms,garages,area,stratum,lat,lng,rent_price,admon_price,total_price
1,1,0,1,,10,20,2,2,2,68,5,4.6955705,-74.0398,2200000,0,2200000
1,1,0,0,4,0,5,1,1,1,42,5,4.7165523,-74.03321,1300000,0,1300000
1,1,0,0,2,10,20,3,4,2,0,6,4.6848917,-74.05617,2900000,800000,3700000
1,1,0,0,5,0,5,2,2,2,80,5,4.664427,-74.11438,3350000,0,3350000
0,0,0,0,9,10,20,3,3,2,0,6,4.6675158,-74.048515,4500000,500000,5000000
0,0,0,0,5,10,20,1,1,1,44,4,4.728558,-74.04795,840000,208000,1048000
1,1,0,0,,10,20,4,5,3,138,6,4.6792436,-74.04806,5600000,700000,6300000
0,0,0,0,,20,,3,1,0,60,3,6.28307,-75.60685,900000,0,900000
1,1,0,0,2,20,,3,3,2,160.41,5,4.700274,-74.05001,1872000,1128000,3000000
1,1,0,0,9,10,20,2,3,2,0,5,4.665315,-74.05245,7730000,770000,8500000
1,1,0,1,2,20,,3,4,2,122,5,4.6512995,-74.05292,2990000,710000,3700000
1,0,0,1,,0,5,2,2,0,0,3,4.72215,-74.12518,1300000,0,1300000
1,1,0,1,,10,20,3,2,1,62,4,6.2081594,-75.58993,1600000,0,1600000
0,0,0,0,4,20,,3,1,1,58,3,4.7218313,-74.11917,936000,164000,1100000
1,0,0,1,,10,20,5,5,3,706,6,4.8132806,-74.03927,15000000,0,15000000
0,1,0,1,1,0,5,2,2,2,89,6,6.216697,-75.555534,2300001,999999,3300000
1,1,0,1,21,0,5,1,2,1,45,4,4.61535,-74.07075,1600000,300000,1900000
0,0,0,0,,0,5,2,1,0,50,2,6.2912,-75.5536,780000,0,780000
0,1,0,0,,0,5,2,2,1,80,6,6.2065244,-75.57463,2300000,0,2300000
0,0,0,0,0,0,5,3,2,0,50,2,4.570627,-74.078094,950000,0,950000
1,1,0,0,1,0,5,1,2,1,52,3,4.607102,-74.06972,1800000,0,1800000
0,0,0,0,1,0,5,5,3,1,200,5,6.2476377,-75.56582,5000000,0,5000000
1,0,0,1,4,0,5,2,2,0,49,3,4.616213,-74.118675,850000,0,850000
0,0,0,1,1,0,5,3,2,1,73,4,6.227372,-75.56368,600001,999999,1600000
0,0,0,1,1,0,5,3,2,0,67,3,6.243536,-75.55374,1,999999,1000000
0,0,0,0,,20,,1,1,1,46.5,4,4.6615453,-74.06027,400000,450000,850000
0,1,0,0,,20,,3,2,1,125,6,6.19341,-75.5669,2800000,0,2800000
